Row_Label,Estimate,SE,P_Value
alpha[1],-0.5838160403567781,0.04167801427686866,0.0
alpha[2],0.9274351770695574,0.06648649942006957,0.0
alpha[3],0.21779929624410907,0.05117508758537108,2.081508221540851e-5
alpha[4],0.8376762869493215,0.06402502250619593,0.0
alpha[5],0.34269946934414286,0.054278980260467194,2.7249802414530677e-10
alpha[6],0.9090329421070832,0.06482053840044114,0.0
alpha[7],0.6681393510191905,0.0617710718490611,0.0
alpha[8],1.4957686962862211,0.0879468867991656,0.0
alpha[9],0.7564353634565087,0.06470372169089553,0.0
alpha[10],2.2423728551532816,0.12374439934180038,0.0
beta[1],0.4337969359882454,0.1580235346482918,0.0060484843449370995
beta[2],0.13596511623335578,0.26544380186441974,0.6084983863803441
beta[3],-0.3160164685997607,0.19326341736505911,0.10201566379831051
beta[4],-0.2772673345047616,0.2455609399745007,0.25884796096186813
beta[5],-0.805780760311282,0.19141778676926605,2.558915513306559e-5
beta[6],-0.16778118532312492,0.25267324058104523,0.5066747239756697
beta[7],-1.257529701232061,0.2087887030309705,1.7123704676436091e-9
beta[8],-1.803251152520748,0.28084760746516685,1.3560819134283975e-10
beta[9],-1.4992669079337144,0.2151870443339668,3.2314151354739806e-12
beta[10],-1.5731671337341018,0.41346678622091815,0.0001419067427903542
lambda,0.06553772862170838,0.0011197342450343063,0.0
