k,irlsg_4,irlsg_5,irlsg_10,reinforcement_learning
2,0.8035714285714286,0.7738095238095238,0.8035714285714286,0.7708333333333334
3,0.7113095238095238,0.6845238095238095,0.6845238095238095,0.7083333333333334
4,0.6755952380952381,0.6517857142857143,0.6517857142857143,0.6815476190476191
5,0.6428571428571429,0.625,0.625,0.625
6,0.5595238095238095,0.5416666666666666,0.5595238095238095,0.6190476190476191
7,0.5595238095238095,0.5416666666666666,0.5416666666666666,0.5922619047619048
8,0.5595238095238095,0.5416666666666666,0.5416666666666666,0.6101190476190477
9,0.5595238095238095,0.5416666666666666,0.5595238095238095,0.5863095238095238
10,0.49107142857142855,0.47619047619047616,0.49107142857142855,0.5267857142857143
11,0.47023809523809523,0.45535714285714285,0.47023809523809523,0.5297619047619048
