Row_Label,Estimate,SE,P_Value
alpha[1],-0.6163832980655207,0.009463044139979247,0.0
alpha[2],1.3390843404321375,0.009563750590833668,0.0
alpha[3],0.01690622474962426,0.009507877347006031,0.07538280330102931
alpha[4],0.6714040555468356,0.009547550232851712,0.0
alpha[5],0.052984034761010754,0.009510180673815347,2.528508225019266e-8
alpha[6],0.6864394724869769,0.009547299916419836,0.0
alpha[7],0.5095192912693891,0.009533187515771258,0.0
alpha[8],1.491080368720668,0.00956424774486974,0.0
alpha[9],0.4300793257533727,0.009528749452906268,0.0
alpha[10],2.237395504047985,0.009574148752617372,0.0
beta[1],1.439939747777264,0.009577804728488596,0.0
beta[2],-0.23672076939264589,0.009582238620380976,0.0
beta[3],0.48348065506307536,0.009579749597509107,0.0
beta[4],1.1687728698910105,0.009581948413632368,0.0
beta[5],0.6141310083556343,0.009579435901203151,0.0
beta[6],1.204543317297755,0.009581950723083169,0.0
beta[7],-0.5224776350031856,0.009579507693748348,0.0
beta[8],-0.243345155513389,0.009581945750841718,0.0
beta[9],-0.9966398755910431,0.00957903063991384,0.0
beta[10],-1.6932947210791698,0.00958261621284452,0.0
lambda,0.06562399292318885,0.0019230426309083054,0.0
"sigma[1,1]",0.02921168467386955,0.0031969684760308073,0.0
"sigma[2,1]",0.0757201646090535,0.0059388789068220696,0.0
"sigma[3,1]",0.04839968774395004,0.005084327842543303,0.0
"sigma[4,1]",0.03965107057890563,0.004771840700560767,0.0
"sigma[5,1]",0.032448377581120944,0.004821324226672889,1.6945334024853764e-11
"sigma[6,1]",0.026615969581749048,0.004948878077270594,7.524151746096663e-8
"sigma[7,1]",0.018947368421052633,0.005387300365426578,0.0004363826602955534
"sigma[8,1]",0.012987012987012988,0.006500464997018726,0.045731940571311025
"sigma[9,1]",0.007194244604316547,0.00925369267139689,0.43689579343559637
"sigma[10,1]",0.009009009009009009,0.009222953749992567,0.3286666842782653
"sigma[1,2]",0.03041216486594638,0.003252005259959618,0.0
"sigma[2,2]",0.14814814814814814,0.006954508742115855,0.0
"sigma[3,2]",0.13817330210772832,0.006751942676446936,0.0
"sigma[4,2]",0.09674861221252974,0.0062326793356866925,0.0
"sigma[5,2]",0.0727630285152409,0.006146881745945539,0.0
"sigma[6,2]",0.051964512040557666,0.006035552241286403,0.0
"sigma[7,2]",0.06736842105263158,0.007245854860497123,0.0
"sigma[8,2]",0.06926406926406926,0.008176525388832784,0.0
"sigma[9,2]",0.04316546762589928,0.008347741298417992,2.3294948281460393e-7
"sigma[10,2]",0.009009009009009009,0.009222953749992567,0.3286666842782653
"sigma[1,3]",0.008003201280512205,0.0017958914843646603,8.33495147345431e-6
"sigma[2,3]",0.06172839506172839,0.005599758856752211,0.0
"sigma[3,3]",0.0585480093676815,0.005403969683631459,0.0
"sigma[4,3]",0.0753370340999207,0.005836385792354715,0.0
"sigma[5,3]",0.046214355948869225,0.005408523993948787,0.0
"sigma[6,3]",0.035487959442332066,0.005419027820597974,5.8013371884158005e-11
"sigma[7,3]",0.029473684210526315,0.006068902775407511,1.1947302949177896e-6
"sigma[8,3]",0.012987012987012988,0.0065004649970187255,0.045731940571311025
"sigma[9,3]",0.02158273381294964,0.007916659788775432,0.006405992840614827
"sigma[10,3]",0.009009009009009009,0.009222953749992567,0.3286666842782653
"sigma[1,4]",0.013205282112845138,0.002253382847884971,4.623001981229891e-9
"sigma[2,4]",0.102880658436214,0.00642639550043288,0.0
"sigma[3,4]",0.09914129586260734,0.0062608980930247485,0.0
"sigma[4,4]",0.11895321173671689,0.006542338168608351,0.0
"sigma[5,4]",0.11701081612586037,0.006846797954870356,0.0
"sigma[6,4]",0.09632446134347275,0.006939592524313173,0.0
"sigma[7,4]",0.08421052631578947,0.007511359997202631,0.0
"sigma[8,4]",0.06060606060606061,0.008066500716234565,5.773159728050814e-14
"sigma[9,4]",0.04316546762589928,0.008347741298417994,2.3294948281460393e-7
"sigma[10,4]",0.009009009009009009,0.009222953749992569,0.3286666842782653
"sigma[1,5]",0.0028011204481792717,0.001133658817211742,0.01347858414904124
"sigma[2,5]",0.02551440329218107,0.004133917141371793,6.744524938540053e-10
"sigma[3,5]",0.06323185011709602,0.0055326329010467615,0.0
"sigma[4,5]",0.046788263283108644,0.005047227341814929,0.0
"sigma[5,5]",0.048180924287118974,0.005477714598938609,0.0
