k,mlp,gbt,ols,lasso
2,0.46473755918878235,0.4612668420665111,0.23406946512741894,0.15250456147547187
3,0.7414433589402329,0.7894835607539828,0.7572707819933042,0.4899624646728885
4,1.0126167562603479,0.958447986433338,1.6371911754161914,1.039383409625334
5,1.1993384458502694,1.1500792065994776,2.840252102005692,1.7939390108083877
6,1.555882277564851,1.2825193265320807,3.913645515705766,2.5182347207922158
7,1.5181767985307963,1.3708184633609062,5.549273464114173,3.5789605949535104
8,1.581893980616426,1.4301281282291154,7.767017384797877,4.995329459297566
9,1.5928579317153828,1.5874565492419783,10.278265015055373,6.5910256032595385
10,1.8475388079124067,1.7328842599531353,12.96500802598277,8.262887621422056
11,2.0823308186043836,1.754602925442379,14.292731310699748,9.375368843669426
