k,irlsg_4,irlsg_5,irlsg_10,reinforcement_learning
2,0.4574331500629472,0.4576039046897926,0.4599548163508315,0.5880097439113147
3,0.7238459446799036,0.7136022979853746,0.7193518062299301,0.9130662067519033
4,0.8983482002163458,0.8982291527951007,0.893123420019537,1.1192837455317524
5,1.0561748064325296,1.0403655002272407,1.0462415610860274,1.3382497946727026
6,1.2661954683076344,1.283405302078175,1.2385066589381428,1.4860547513667843
7,1.3389988185109272,1.3450548990616036,1.2994102106109329,1.5884202397352896
8,1.3795269737358138,1.3893211855999323,1.3481934191901945,1.6329690629995284
9,1.4629607301611147,1.4808198446030756,1.4383050440021126,1.7478438042442703
10,1.690866436137389,1.7075838576354745,1.6479720241399893,1.9053197092151972
11,1.7478044056892832,1.7603824008213937,1.683580606063693,1.9604955148463659
