Row_Label,Estimate,SE,P_Value
alpha[1],-0.5716200901796719,0.04176295550373747,0.0
alpha[2],0.9380298046606678,0.06670613184092825,0.0
alpha[3],0.21049438352503155,0.05118766113938344,3.9189052375432354e-5
alpha[4],0.830425642172002,0.06405210182416886,0.0
alpha[5],0.33502558907920843,0.05426911702823304,6.683198439105809e-10
alpha[6],0.9129528182690665,0.06495603036739972,0.0
alpha[7],0.6599064802690691,0.06173371998972518,0.0
alpha[8],1.4916700392599909,0.08793999353336758,0.0
alpha[9],0.756675379266789,0.06476708810997335,0.0
alpha[10],2.251084716854152,0.12414299201110449,0.0
beta[1],0.7153834648835021,0.16289016655476182,1.1240836648829244e-5
beta[2],0.3072690181268193,0.2790276160430832,0.27080368441171965
beta[3],-0.4185797344068254,0.1960303937635153,0.032738164242106516
beta[4],-0.3922468300185048,0.24911025058738892,0.11535081535898639
beta[5],-0.9055704268087647,0.19354457754619173,2.884565524441385e-6
beta[6],-0.09594388357491186,0.26218324218029904,0.7144082882270935
beta[7],-1.3607701053851298,0.21072098881439105,1.0631562297191977e-10
beta[8],-1.8527521789934223,0.2842987627317523,7.176592653479474e-11
beta[9],-1.5000991858836403,0.21923984060453788,7.794653811288299e-12
beta[10],-1.461718244988857,0.43019525787115337,0.0006792960147756766
lambda,0.065274600461887,0.0011175520698199532,0.0
