k,irlsg_4,irlsg_5,irlsg_10,reinforcement_learning
2,0.7888477801268499,0.7698202959830867,0.7698202959830867,0.7867336152219874
3,0.6670190274841438,0.6482558139534884,0.6482558139534884,0.6672832980972516
4,0.617600422832981,0.5977801268498943,0.5977801268498943,0.6197145877378436
5,0.5375264270613108,0.5256342494714588,0.5256342494714588,0.5457188160676533
6,0.5140063424947146,0.4965644820295983,0.4965644820295983,0.5198202959830867
7,0.5002642706131079,0.48520084566596194,0.48520084566596194,0.504492600422833
8,0.4931289640591966,0.47806553911205074,0.47806553911205074,0.4978858350951374
9,0.4653805496828753,0.4516384778012685,0.4516384778012685,0.47093023255813954
10,0.46643763213530653,0.4526955602536998,0.4526955602536998,0.4635306553911205
11,0.4635306553911205,0.44978858350951373,0.44978858350951373,0.46485200845665964
12,0.45930232558139533,0.4455602536997886,0.4455602536997886,0.4587737843551797
13,0.4178118393234672,0.40856236786469347,0.40856236786469347,0.41939746300211417
14,0.4164904862579281,0.4072410147991543,0.4072410147991543,0.41490486257928116
15,0.4178118393234672,0.40856236786469347,0.40856236786469347,0.4164904862579281
16,0.4162262156448203,0.4069767441860465,0.4069767441860465,0.4114693446088795
17,0.4162262156448203,0.4069767441860465,0.4069767441860465,0.41728329809725156
18,0.41701902748414377,0.40776955602536996,0.40776955602536996,0.4114693446088795
19,0.4167547568710359,0.40750528541226216,0.40750528541226216,0.4191331923890063
20,0.415169133192389,0.4059196617336152,0.4059196617336152,0.41226215644820297
21,0.4164904862579281,0.4072410147991543,0.4072410147991543,0.4143763213530655
22,0.41358350951374206,0.4043340380549683,0.4043340380549683,0.40882663847780126
23,0.41569767441860467,0.40644820295983086,0.40644820295983086,0.4143763213530655
24,0.4141120507399577,0.4048625792811839,0.4048625792811839,0.40856236786469347
25,0.386892177589852,0.38160676532769555,0.38160676532769555,0.38134249471458775
26,0.3842494714587738,0.3786997885835095,0.3786997885835095,0.3784355179704017
