Row_Label,Estimate,SE,P_Value
alpha[1],-0.5408397172077669,0.011711641890972851,0.0
alpha[2],1.4880392690338833,0.011842953057346693,0.0
alpha[3],0.01611190741395694,0.011764726761207205,0.17084000489141782
alpha[4],1.639785281057412,0.011844747161355298,0.0
alpha[5],1.2410379548530435,0.011839946711755832,0.0
alpha[6],0.06357736007178041,0.011763962537385125,6.501949290083076e-8
alpha[7],0.6716109275782529,0.011816661238213117,0.0
alpha[8],1.9621842435883363,0.011849900775559169,0.0
alpha[9],0.6787413876712646,0.011802676378476373,0.0
alpha[10],3.1777878653624043,0.011859523066011846,0.0
alpha[11],2.351407273131257,0.011855441917204767,0.0
alpha[12],0.38618633427002147,0.011790724456163991,0.0
alpha[13],2.2869585894041218,0.011852294205776702,0.0
beta[1],0.8948883198013883,0.011856912710591642,0.0
beta[2],-0.13109395474951288,0.011863098098384813,0.0
beta[3],0.37471298088448796,0.011859881643220205,0.0
beta[4],-0.32257577432634127,0.011863169902809513,0.0
beta[5],3.8712372793150305,0.011864159726387772,0.0
beta[6],0.017187046744752698,0.0118584765548068,0.14724071763932756
beta[7],0.9776711889119873,0.01186265704548553,0.0
beta[8],-0.8913672163926889,0.011863336874452155,0.0
beta[9],-0.8280737203552735,0.01185930245728104,0.0
beta[10],-2.0520813460376046,0.011863991012251272,0.0
beta[11],-0.7962495720128223,0.011863851628163339,0.0
beta[12],-1.1641743186424072,0.011858878735875664,0.0
beta[13],-2.141573885250542,0.011863301484206666,0.0
lambda,0.07162705681196382,0.0025975187664813984,0.0
"sigma[1,1]",0.054455445544554455,0.00415934671259816,0.0
"sigma[2,1]",0.032567049808429116,0.004219414905634991,1.176836406102666e-14
"sigma[3,1]",0.00894308943089431,0.002731534102300571,0.0010603018497730154
"sigma[4,1]",0.014450867052023121,0.00607428939008441,0.017358648001386978
"sigma[5,1]",0.011627906976744186,0.011589330883397309,0.31570234766979777
"sigma[1,2]",0.07121096725057122,0.004630736436156211,0.0
"sigma[2,2]",0.10791826309067688,0.006514855845479646,0.0
"sigma[3,2]",0.06504065040650407,0.0059991782575936235,0.0
"sigma[4,2]",0.06647398843930635,0.008784197522412635,3.7969627442180354e-14
"sigma[5,2]",0.03488372093023256,0.010491025122230654,0.0008838642519175544
"sigma[1,3]",0.016755521706016754,0.0024769759313730878,1.3376411089893736e-11
"sigma[2,3]",0.04789272030651341,0.004919815106417164,0.0
"sigma[3,3]",0.02032520325203252,0.0038600055198155323,1.3974047252673927e-7
"sigma[4,3]",0.011560693641618497,0.005736180264168868,0.04386282859606072
"sigma[5,3]",0.023255813953488372,0.010374557690367879,0.02498595507081447
"sigma[1,4]",0.0057121096725057125,0.0015094901700642544,0.00015424610573955277
"sigma[2,4]",0.026181353767560665,0.0038527311587064515,1.0791367799356522e-11
"sigma[3,4]",0.02195121951219512,0.003984658554256419,3.610139809318014e-8
"sigma[4,4]",0.008670520231213872,0.00538027040940741,0.10706210631708224
"sigma[5,4]",0.011627906976744186,0.011589330883397307,0.31570234766979777
"sigma[1,5]",0.04036557501904037,0.003668001991479306,0.0
"sigma[2,5]",0.10664112388250319,0.006491451475635582,0.0
"sigma[3,5]",0.10894308943089431,0.007004428151002422,0.0
"sigma[4,5]",0.10115606936416185,0.009401409069082154,0.0
"sigma[5,5]",0.03488372093023256,0.010491025122230654,0.0008838642519175544
"sigma[1,6]",0.012185833968012186,0.0021389418622423293,1.218396494806484e-8
"sigma[2,6]",0.04980842911877394,0.0049942058128647545,0.0
"sigma[3,6]",0.04065040650406504,0.0050821181882873614,1.3322676295501878e-15
"sigma[4,6]",0.02601156069364162,0.007109858344864752,0.000253675705101708
"sigma[5,6]",0.03488372093023256,0.010491025122230654,0.0008838642519175544
"sigma[1,7]",0.003808073115003808,0.0012594612149226787,0.002498086265520394
"sigma[2,7]",0.02681992337164751,0.0038920502112547734,5.5420112943238564e-12
"sigma[3,7]",0.012195121951219513,0.003113822161595519,8.986326260362887e-5
"sigma[4,7]",0.017341040462427744,0.006378614638690948,0.006555452615703894
"sigma[5,7]",0.03488372093023256,0.010491025122230654,0.0008838642519175544
"sigma[1,8]",0.005331302361005331,0.0014630529315607073,0.000268478015342577
"sigma[2,8]",0.09259259259259259,0.006212136925188033,0.0
"sigma[3,8]",0.08455284552845528,0.0065164574621454936,0.0
"sigma[4,8]",0.12716763005780346,0.009687594164511879,0.0
"sigma[5,8]",0.03488372093023256,0.010491025122230654,0.0008838642519175544
"sigma[1,9]",0.0011424219345011425,0.0008052475060245212,0.15598023197776367
"sigma[2,9]",0.014687100893997445,0.0030017582730149845,9.939491818489188e-7
"sigma[3,9]",0.00975609756097561,0.002833383497029711,0.0005747303431478112
"sigma[4,9]",0.02601156069364162,0.007109858344864749,0.000253675705101708
"sigma[5,9]",0.023255813953488372,0.010374557690367879,0.02498595507081447
"sigma[1,10]",0.001904036557501904,0.0009478238954840862,0.044552985069283846
"sigma[2,10]",0.01979565772669221,0.003418748201982356,7.025102499724767e-9
"sigma[3,10]",0.01707317073170732,0.0035892173740861067,1.966908709905013e-6
"sigma[4,10]",0.05202312138728324,0.00837524686242698,5.247020595788854e-10
"sigma[5,10]",0.046511627906976744,0.010642266641395693,1.2398361275867131e-5
"sigma[1,11]",0.006473724295506474,0.001598052920170581,5.099758213744643e-5
"sigma[2,11]",0.06449553001277139,0.005494959085681901,0.0
"sigma[3,11]",0.0910569105691057,0.006660884212658232,0.0
"sigma[4,11]",0.11271676300578035,0.0095412912006695,0.0
"sigma[5,11]",0.08139534883720931,0.010944098416174065,1.028066520802895e-13
"sigma[1,12]",0.0030464584920030465,0.0011440522950341822,0.0077478153423578
"sigma[2,12]",0.0031928480204342275,0.0015784850026335565,0.04310105413724363
"sigma[3,12]",0.030894308943089432,0.004573423742127276,1.4265699732618486e-11
"sigma[4,12]",0.014450867052023121,0.00607428939008441,0.017358648001386978
"sigma[5,12]",0.023255813953488372,0.010374557690367879,0.02498595507081447
"sigma[1,13]",0.010281797410510283,0.001977380125761138,1.9960285246867215e-7
"sigma[2,13]",0.07854406130268199,0.00588500121308914,0.0
"sigma[3,13]",0.3203252032520325,0.008711235951461376,0.0
"sigma[4,13]",0.30057803468208094,0.010453189931627646,0.0
"sigma[5,13]",0.4883720930232558,0.01145810394817503,0.0
