k,irlsg_4,irlsg_5,irlsg_10,reinforcement_learning
2,0.46480417241861466,0.46175153781531736,0.45574437758192077,0.4934935830651239
3,0.7941521927639243,0.7902477999190619,0.7782291268537626,0.7996891099784061
4,1.0064162284543714,1.0079786126312382,0.9900146347841703,0.9960531960224714
5,1.2478142369460856,1.2442267145947887,1.2214333649866662,1.2145700881782933
6,1.3674978010408507,1.3644205352948489,1.338545891740864,1.3297183831016497
7,1.4797887482081842,1.474211159454741,1.4522028705153334,1.4258060918544448
8,1.5457192285720198,1.5415102188042795,1.51728349956794,1.5013141145672788
9,1.6637220069622483,1.657390603795995,1.6391140331443552,1.604107178348021
10,1.7119738414589007,1.705065643648766,1.683036759244573,1.6636827241369616
11,1.7902011575052306,1.7809653686944769,1.7654043675755335,1.7356550005281028
12,1.8300009845986762,1.8219754126549181,1.8047693812535486,1.774260790942111
13,1.9640725719834828,1.9551354821979834,1.9395438657452768,1.8689728618356551
14,1.9917297441936637,1.9841899759141182,1.9671251594593409,1.8944439445975794
15,1.9925568706674261,1.9848150726453837,1.970715408238109,1.8967896961384065
16,2.0735270915162505,2.0632735097092563,2.0499808122379104,1.9752611217980365
17,2.088662250013867,2.0793952919914083,2.067280642667308,1.9966650846896028
18,2.1218696489043856,2.1127997847982836,2.098736803839248,2.026361044936002
19,2.1249909556065414,2.1185479988038987,2.1069236815272405,2.0311248835909854
20,2.148804364464528,2.142695196885177,2.129253607732083,2.0640511390756973
21,2.1886516206053406,2.18008815311669,2.1677985051144493,2.101005696503956
22,2.2327949280960397,2.2246997709639955,2.2138972462652284,2.1397626446569524
23,2.232089294660085,2.224611834281263,2.214419000384479,2.139114304741142
24,2.2674805344276496,2.2601150397892416,2.249199667595517,2.1760998852994757
25,2.3914554313186938,2.381604323472016,2.3719389898884478,2.271537884253644
26,2.4089732892069504,2.397524425203361,2.3883308450124194,2.285614377631354
